"diagnosis"	"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"
"anxiety"	"feeling anxious"	"1818111000006112"	"1B13-100"	NA	"1818111000006108"	"1818111000006112"
"anxiety"	"feeling anxious"	"3287761000006110"	"^ESCTFE328776"	NA	"48694002"	"2536377015"
"depression"	"pcl-c - loss of interest in activities you used to enjoy: a little bit"	"1820771000006113"	"JHCPC42"	NA	"1820771000006109"	"1820771000006113"
"depression"	"pcl-c - loss of interest in activities you used to enjoy: moderately"	"1820781000006111"	"JHCPC43"	NA	"1820781000006107"	"1820781000006111"
"depression"	"pcl-c - loss of interest in activities you used to enjoy: quite a bit"	"1820791000006114"	"JHCPC44"	NA	"1820791000006105"	"1820791000006114"
"depression"	"pcl-c - loss of interest in activities you used to enjoy: extremely"	"1820801000006110"	"JHCPC45"	NA	"1820801000006106"	"1820801000006110"
"mixed"	"hopelessness"	"1821311000006112"	"EMISNQHO52"	NA	"307077003"	"1821311000006112"
"mixed"	"hopelessness"	"5964101000006113"	"^ESCTHO596410"	NA	"307077003"	"2536158011"
"depression"	"depression confirmed"	"1823881000006110"	"EMISNQDE36"	NA	"1823881000006106"	"1823881000006110"
"depression"	"phq9 total score 5-9 (mild depression)"	"1839551000006116"	"EMISNQPH33"	NA	"1839551000006100"	"1839551000006116"
"depression"	"phq9 total score 10-14 (moderate depression)"	"1839561000006119"	"EMISNQPH34"	NA	"1839561000006103"	"1839561000006119"
"depression"	"phq9 total score 15-19 (moderately severe depression)"	"1839571000006114"	"EMISNQPH35"	NA	"1839571000006105"	"1839571000006114"
"depression"	"phq9 total score 20-27 (severe depression)"	"1839581000006112"	"EMISNQPH36"	NA	"1839581000006108"	"1839581000006112"
"anxiety"	"gad-7 score - feeling nervous, anxious or on edge"	"1839741000006111"	"EMISNQGA11"	NA	"1839741000006107"	"1839741000006111"
"anxiety"	"gad-7 score - not being able to stop or control worrying"	"1839751000006113"	"EMISNQGA12"	NA	"1839751000006109"	"1839751000006113"
"anxiety"	"gad-7 score - worrying too much about different things"	"1839761000006110"	"EMISNQGA13"	NA	"1839761000006106"	"1839761000006110"
"anxiety"	"gad-7 score - trouble relaxing"	"1839771000006115"	"EMISNQGA14"	NA	"1839771000006104"	"1839771000006115"
"anxiety"	"gad-7 score - being so restless that it is hard to sit still"	"1839781000006117"	"EMISNQGA15"	NA	"1839781000006101"	"1839781000006117"
"anxiety"	"gad-7 score - becoming easily annoyed or irritable"	"1839791000006119"	"EMISNQGA16"	NA	"1839791000006103"	"1839791000006119"
"anxiety"	"gad-7 score - feeling afraid as if something awful might happen"	"1839801000006118"	"EMISNQGA17"	NA	"1839801000006102"	"1839801000006118"
"anxiety"	"breathlessness causing anxiety"	"1861181000006114"	"EMISNQBR37"	NA	"1861181000006105"	"1861181000006114"
